id,first_name,last_name,username,email,gender,ip_address,race,street_name,city,state,postal_code,drinks,age,commited_crime
32,Elizabeth,Miller,emillerv,emillerv@com.com,Female,18.190.192.26,Cherokee,Dunning,Asheville,NC,28815,Often,27,false
33,Lisa,Nguyen,lnguyenw,lnguyenw@meetup.com,Female,182.109.211.236,Sioux,Calypso,San Jose,CA,95118,Daily,54,false
34,Louis,Reed,lreedx,lreedx@virginia.edu,Male,238.67.86.33,Chamorro,5th,Bismarck,ND,58505,Once,22,true
35,Amanda,Austin,aaustiny,aaustiny@hhs.gov,Female,111.243.178.136,Uruguayan,Quincy,Wichita,KS,67210,Yearly,90,false
36,Martin,Stanley,mstanleyz,mstanleyz@jimdo.com,Male,158.5.127.169,Apache,Pawling,Denver,CO,80255,Monthly,78,true
37,Kelly,Woods,kwoods10,kwoods10@seesaa.net,Female,1.244.164.8,Puerto Rican,Moulton,Corpus Christi,TX,78426,Often,62,true
38,Steve,Alvarez,salvarez11,salvarez11@discuz.net,Male,116.151.228.184,Pueblo,International,Washington,DC,20051,Seldom,61,false
39,Kathleen,Stone,kstone12,kstone12@1688.com,Female,167.70.36.202,Sri Lankan,Melody,Charleston,WV,25356,Monthly,48,true
40,Ruby,Mccoy,rmccoy13,rmccoy13@free.fr,Female,83.56.101.90,South American,Stephen,Chattanooga,TN,37450,Yearly,86,false
41,Jessica,Hunt,jhunt14,jhunt14@pbs.org,Female,154.227.112.106,Micronesian,Elmside,New Orleans,LA,70187,Often,28,true
42,Roger,Wagner,rwagner15,rwagner15@godaddy.com,Male,226.143.153.146,Argentinian,Gale,Washington,DC,20057,Yearly,94,true
43,Frank,Oliver,foliver16,foliver16@cisco.com,Male,198.123.44.12,Melanesian,Northport,San Francisco,CA,94147,Daily,39,false
44,Deborah,Wood,dwood17,dwood17@fastcompany.com,Female,197.115.196.112,Cree,Maple Wood,Charleston,SC,29403,Monthly,25,false
45,Andrew,Garcia,agarcia18,agarcia18@sfgate.com,Male,129.153.9.152,Aleut,Forest Dale,New York City,NY,10019,Yearly,34,false
46,Margaret,Green,mgreen19,mgreen19@tumblr.com,Female,252.238.235.198,Ute,Superior,Fresno,CA,93721,Weekly,46,true
47,Jesse,Arnold,jarnold1a,jarnold1a@sina.com.cn,Male,161.148.135.114,Tongan,Knutson,San Antonio,TX,78265,Yearly,74,true
48,Jack,Ortiz,jortiz1b,jortiz1b@chicagotribune.com,Male,46.213.138.244,Paiute,Jackson,Washington,DC,20456,Monthly,83,false
49,Christine,Miller,cmiller1c,cmiller1c@intel.com,Female,168.56.92.210,Pueblo,Armistice,San Diego,CA,92137,Seldom,89,false
50,Andrew,Porter,aporter1d,aporter1d@java.com,Male,205.100.112.251,Samoan,Arkansas,Riverside,CA,92513,Weekly,54,true
51,Emily,Jacobs,ejacobs1e,ejacobs1e@ifeng.com,Female,206.22.196.148,Tohono O'Odham,Thackeray,Houston,TX,77050,Never,37,false
52,Elizabeth,Ferguson,eferguson1f,eferguson1f@drupal.org,Female,229.22.169.114,Melanesian,Maple Wood,Minneapolis,MN,55423,Once,76,false
53,Amanda,Russell,arussell1g,arussell1g@ow.ly,Female,207.246.185.116,Sri Lankan,Sunbrook,Oakland,CA,94627,Once,94,false
54,Diane,Elliott,delliott1h,delliott1h@4shared.com,Female,96.2.235.103,Lumbee,Farragut,Fairbanks,AK,99709,Once,71,true
55,Anne,Stevens,astevens1i,astevens1i@hp.com,Female,94.226.189.10,Cree,North,Nashville,TN,37240,Daily,58,false
56,Albert,Marshall,amarshall1j,amarshall1j@ifeng.com,Male,123.244.226.0,Asian Indian,Carey,Boston,MA,02124,Daily,32,true
57,Louis,Kelley,lkelley1k,lkelley1k@privacy.gov.au,Male,81.84.217.50,Menominee,8th,Omaha,NE,68144,Seldom,85,false
58,Daniel,Robinson,drobinson1l,drobinson1l@globo.com,Male,99.64.102.226,Spaniard,Northland,Washington,DC,20546,Weekly,82,true
59,Mildred,Schmidt,mschmidt1m,mschmidt1m@wisc.edu,Female,44.243.246.56,Menominee,Karstens,West Hartford,CT,06127,Weekly,57,true
60,Aaron,Carroll,acarroll1n,acarroll1n@chicagotribune.com,Male,122.131.211.179,Spaniard,Stephen,Los Angeles,CA,90020,Seldom,96,true
61,Walter,Riley,wriley1o,wriley1o@wordpress.org,Male,60.217.57.131,Uruguayan,Pierstorff,Lexington,KY,40524,Never,82,false
62,Martha,Larson,mlarson1p,mlarson1p@multiply.com,Female,228.208.143.166,Black or African American,Pennsylvania,Las Vegas,NV,89120,Daily,64,false
63,Steven,Perry,sperry1q,sperry1q@mediafire.com,Male,237.76.142.61,Micronesian,Cambridge,Phoenix,AZ,85040,Seldom,97,true
64,Stephanie,Burton,sburton1r,sburton1r@mac.com,Female,83.1.190.218,Alaska Native,Sullivan,Allentown,PA,18105,Never,30,false
65,Billy,Crawford,bcrawford1s,bcrawford1s@salon.com,Male,17.124.247.27,Asian,Pierstorff,Tallahassee,FL,32399,Daily,18,true
66,Jerry,Boyd,jboyd1t,jboyd1t@sun.com,Male,248.18.0.239,Vietnamese,Kingsford,Greensboro,NC,27415,Weekly,33,false
67,Todd,Diaz,tdiaz1u,tdiaz1u@wordpress.com,Male,209.164.45.178,Indonesian,School,Saint Paul,MN,55108,Seldom,70,false
68,Fred,Fisher,ffisher1v,ffisher1v@paginegialle.it,Male,106.175.4.34,Asian,Columbus,Amarillo,TX,79118,Weekly,95,true
69,Terry,Cole,tcole1w,tcole1w@yellowbook.com,Male,203.44.57.226,Melanesian,Victoria,Columbus,MS,39705,Daily,38,false
70,Jimmy,Willis,jwillis1x,jwillis1x@chron.com,Male,162.172.199.78,Native Hawaiian,Artisan,Detroit,MI,48258,Never,60,true
71,Steven,Coleman,scoleman1y,scoleman1y@delicious.com,Male,177.123.157.18,Navajo,Dovetail,Memphis,TN,38109,Once,59,false
72,Jonathan,Ford,jford1z,jford1z@creativecommons.org,Male,78.101.33.203,Ottawa,Village Green,Miami,FL,33153,Once,54,true
73,Fred,Reyes,freyes20,freyes20@prweb.com,Male,175.89.130.242,Cambodian,Carberry,Los Angeles,CA,90087,Seldom,30,true
74,Debra,Shaw,dshaw21,dshaw21@seesaa.net,Female,58.61.173.10,Malaysian,Debra,Topeka,KS,66611,Never,51,false
75,John,Reid,jreid22,jreid22@taobao.com,Male,139.77.33.60,Japanese,Manufacturers,Appleton,WI,54915,Weekly,39,false
76,Donna,Howell,dhowell23,dhowell23@dion.ne.jp,Female,233.232.136.70,Seminole,Scoville,Raleigh,NC,27635,Weekly,91,true
77,Nicole,Holmes,nholmes24,nholmes24@usatoday.com,Female,234.19.152.125,Chippewa,La Follette,Toledo,OH,43605,Monthly,37,true
78,Carol,Williamson,cwilliamson25,cwilliamson25@stumbleupon.com,Female,223.62.36.197,Guamanian,Evergreen,Columbus,OH,43284,Never,62,false
79,Carolyn,Scott,cscott26,cscott26@flavors.me,Female,159.221.58.69,Colville,Mcbride,Jersey City,NJ,07305,Often,22,true
80,Douglas,Gibson,dgibson27,dgibson27@washington.edu,Male,135.59.22.148,Asian Indian,Dryden,Denver,CO,80291,Seldom,55,false
81,Marie,Perry,mperry28,mperry28@japanpost.jp,Female,157.226.175.40,Ottawa,Swallow,Vienna,VA,22184,Seldom,33,true
82,Lawrence,Turner,lturner29,lturner29@rediff.com,Male,192.146.232.154,Filipino,Warbler,Jackson,MS,39204,Monthly,18,false
83,Gloria,George,ggeorge2a,ggeorge2a@dedecms.com,Female,127.246.224.190,Cambodian,Eastwood,Albuquerque,NM,87190,Yearly,99,false
84,Paula,Riley,priley2b,priley2b@icio.us,Female,241.56.39.23,Navajo,Dwight,Boston,MA,02104,Daily,22,true
85,Billy,Reed,breed2c,breed2c@storify.com,Male,184.254.64.14,American Indian,Namekagon,Boise,ID,83722,Yearly,95,true
86,Virginia,Smith,vsmith2d,vsmith2d@ebay.co.uk,Female,42.237.229.82,Pima,Heffernan,Washington,DC,20503,Weekly,71,false
87,Willie,Sanchez,wsanchez2e,wsanchez2e@bbb.org,Male,249.79.79.55,Ute,Stoughton,Aurora,IL,60505,Daily,85,true
88,Kenneth,Burns,kburns2f,kburns2f@scientificamerican.com,Male,247.225.229.221,Guamanian,Victoria,Cleveland,OH,44177,Often,71,true
89,Kevin,Long,klong2g,klong2g@nih.gov,Male,102.107.254.255,American Indian,Di Loreto,Long Beach,CA,90840,Weekly,85,true
90,Alice,Hudson,ahudson2h,ahudson2h@spiegel.de,Female,153.51.153.140,Bolivian,Pond,Minneapolis,MN,55448,Often,83,true
91,Terry,Day,tday2i,tday2i@salon.com,Male,63.3.163.16,Samoan,Prairie Rose,Greensboro,NC,27499,Daily,86,false
92,Wayne,Butler,wbutler2j,wbutler2j@vkontakte.ru,Male,111.163.13.147,Guamanian,Marquette,Houston,TX,77020,Daily,69,false
93,Roger,Rose,rrose2k,rrose2k@princeton.edu,Male,87.203.97.225,Japanese,Kings,Largo,FL,34643,Monthly,56,false
94,Janet,Nichols,jnichols2l,jnichols2l@plala.or.jp,Female,100.65.164.27,Chamorro,Summer Ridge,Lexington,KY,40546,Weekly,70,false
95,Diane,Rice,drice2m,drice2m@friendfeed.com,Female,204.204.173.41,Costa Rican,Hermina,Scranton,PA,18514,Weekly,42,false
96,Stephanie,Peters,speters2n,speters2n@163.com,Female,153.61.48.200,Chilean,Sunfield,Spartanburg,SC,29305,Often,57,true
97,Sean,Little,slittle2o,slittle2o@live.com,Male,191.73.190.110,Ecuadorian,Scoville,Boston,MA,02283,Yearly,79,true
98,Amanda,Alexander,aalexander2p,aalexander2p@scientificamerican.com,Female,158.252.252.234,Taiwanese,Oriole,Denver,CO,80217,Seldom,70,true
99,Carolyn,Lane,clane2q,clane2q@columbia.edu,Female,220.203.81.200,Puget Sound Salish,High Crossing,Brooksville,FL,34605,Weekly,96,true
100,Phyllis,Perez,pperez2r,pperez2r@oaic.gov.au,Female,121.76.146.74,Choctaw,Superior,New York City,NY,10045,Seldom,29,true
101,Pamela,Weaver,pweaver2s,pweaver2s@archive.org,Female,196.9.27.129,Bolivian,Briar Crest,Miami,FL,33190,Seldom,35,true
102,Evelyn,Nichols,enichols2t,enichols2t@cbslocal.com,Female,54.36.100.13,Chippewa,Hoepker,Madison,WI,53785,Once,79,true
103,Nicole,Reyes,nreyes2u,nreyes2u@nyu.edu,Female,33.40.152.251,Asian Indian,Acker,Palm Bay,FL,32909,Often,46,true
104,Albert,Fox,afox2v,afox2v@weebly.com,Male,248.184.218.227,Yakama,Spohn,Evansville,IN,47747,Weekly,19,true
105,Terry,Miller,tmiller2w,tmiller2w@biglobe.ne.jp,Male,145.27.36.23,Potawatomi,Portage,Greensboro,NC,27415,Never,64,true
106,Bobby,Lewis,blewis2x,blewis2x@hc360.com,Male,62.251.104.221,Crow,Monument,Albany,NY,12210,Monthly,24,true
107,Lisa,Kelly,lkelly2y,lkelly2y@squidoo.com,Female,103.140.217.201,Guamanian,Cambridge,Portsmouth,NH,03804,Yearly,89,false
108,Bobby,Ford,bford2z,bford2z@house.gov,Male,51.57.16.236,Samoan,Mayer,Augusta,GA,30911,Once,54,false
109,Jonathan,Rose,jrose30,jrose30@nih.gov,Male,165.165.249.72,Laotian,Derek,New York City,NY,10090,Often,29,false
110,Ann,Sims,asims31,asims31@newsvine.com,Female,80.65.68.242,Mexican,Di Loreto,Memphis,TN,38131,Once,79,false
111,Pamela,Hart,phart32,phart32@wsj.com,Female,130.156.233.132,Tlingit-Haida,Stoughton,Miami,FL,33111,Once,55,true
112,Kimberly,Little,klittle33,klittle33@tuttocitta.it,Female,178.83.157.47,Native Hawaiian,Warner,Erie,PA,16565,Often,83,false
113,Dennis,Carroll,dcarroll34,dcarroll34@oakley.com,Male,113.194.171.93,Alaskan Athabascan,Crescent Oaks,New York City,NY,10029,Often,61,false
114,Joe,Willis,jwillis35,jwillis35@salon.com,Male,16.46.50.194,Black or African American,Vahlen,Maple Plain,MN,55579,Yearly,72,true
115,Ralph,Garcia,rgarcia36,rgarcia36@nyu.edu,Male,130.191.203.88,Panamanian,Menomonie,Denver,CO,80243,Daily,99,false
116,Philip,Wood,pwood37,pwood37@flickr.com,Male,138.54.186.106,Filipino,Mifflin,Honolulu,HI,96835,Never,72,false
117,Carol,Russell,crussell38,crussell38@tuttocitta.it,Female,166.186.212.45,Guatemalan,Ronald Regan,San Diego,CA,92121,Once,40,false
118,Bonnie,Sanchez,bsanchez39,bsanchez39@cam.ac.uk,Female,209.56.84.202,South American,Ronald Regan,Lubbock,TX,79410,Often,53,false
119,Sharon,Gomez,sgomez3a,sgomez3a@dailymotion.com,Female,57.184.241.51,Iroquois,Forest Dale,San Francisco,CA,94121,Yearly,37,false
120,Joe,Kelley,jkelley3b,jkelley3b@icio.us,Male,224.75.29.68,Houma,Basil,Grand Rapids,MI,49560,Monthly,80,true
121,Matthew,Dunn,mdunn3c,mdunn3c@people.com.cn,Male,117.190.36.25,Pakistani,Gulseth,Chesapeake,VA,23324,Once,50,false
122,Ashley,Sullivan,asullivan3d,asullivan3d@nhs.uk,Female,17.220.73.42,Cheyenne,Gulseth,Mesa,AZ,85210,Weekly,36,true
123,Jeremy,Sullivan,jsullivan3e,jsullivan3e@bloomberg.com,Male,166.245.174.170,Ecuadorian,Pennsylvania,Sacramento,CA,94291,Daily,73,true
124,Michelle,Cruz,mcruz3f,mcruz3f@plala.or.jp,Female,14.165.149.8,Tohono O'Odham,Forest Dale,Little Rock,AR,72231,Daily,95,false
125,Phyllis,Wagner,pwagner3g,pwagner3g@google.com.au,Female,151.169.7.7,Costa Rican,Di Loreto,Miami,FL,33153,Seldom,55,false
126,Jack,Fernandez,jfernandez3h,jfernandez3h@bing.com,Male,27.121.149.157,Venezuelan,Waxwing,San Diego,CA,92145,Often,35,true
127,Nancy,Owens,nowens3i,nowens3i@opensource.org,Female,72.247.179.129,Malaysian,Del Mar,Boise,ID,83722,Once,63,false
128,Andrea,Butler,abutler3j,abutler3j@theguardian.com,Female,93.101.47.134,Hmong,Dwight,Las Vegas,NV,89140,Monthly,49,false
129,Gloria,Ellis,gellis3k,gellis3k@bloomberg.com,Female,124.13.156.135,Apache,Maryland,Houston,TX,77035,Monthly,80,false
130,Joyce,Murphy,jmurphy3l,jmurphy3l@weibo.com,Female,109.17.115.210,Venezuelan,Hoepker,Stamford,CT,06912,Daily,59,true
131,Phyllis,Garrett,pgarrett3m,pgarrett3m@patch.com,Female,78.35.106.240,Chickasaw,Green,Boston,MA,02163,Yearly,89,true
132,Walter,Castillo,wcastillo3n,wcastillo3n@zdnet.com,Male,193.120.220.57,Pima,Talisman,Charleston,SC,29424,Monthly,20,false
133,John,Murray,jmurray3o,jmurray3o@irs.gov,Male,57.169.29.90,Fijian,Stephen,Tacoma,WA,98464,Weekly,76,false
134,Richard,Medina,rmedina3p,rmedina3p@zdnet.com,Male,151.123.50.234,Colombian,Esch,Richmond,VA,23203,Never,69,false
135,Lillian,Thomas,lthomas3q,lthomas3q@wisc.edu,Female,61.74.95.9,Colville,Meadow Valley,Madison,WI,53710,Often,89,false
136,Clarence,Lee,clee3r,clee3r@linkedin.com,Male,203.219.216.7,Delaware,Harbort,Dallas,TX,75358,Daily,34,true
137,Sean,Russell,srussell3s,srussell3s@canalblog.com,Male,76.206.15.103,Uruguayan,Ramsey,Brooklyn,NY,11220,Weekly,19,false
138,Rachel,Reynolds,rreynolds3t,rreynolds3t@lycos.com,Female,106.213.232.244,American Indian and Alaska Native (AIAN),Kensington,El Paso,TX,88574,Monthly,30,true
139,Stephanie,Mcdonald,smcdonald3u,smcdonald3u@seattletimes.com,Female,82.28.84.65,Panamanian,Debs,Philadelphia,PA,19178,Yearly,76,true
140,Carolyn,Howell,chowell3v,chowell3v@mac.com,Female,4.33.204.104,Potawatomi,Miller,Waterloo,IA,50706,Seldom,54,false
141,Adam,Phillips,aphillips3w,aphillips3w@squidoo.com,Male,44.23.9.74,Bolivian,8th,Irvine,CA,92717,Yearly,23,false
142,Phyllis,Morgan,pmorgan3x,pmorgan3x@omniture.com,Female,31.255.238.199,Cheyenne,Bellgrove,Wichita,KS,67205,Never,99,false
143,Donald,Cox,dcox3y,dcox3y@vinaora.com,Male,198.231.36.193,Ute,Russell,Washington,DC,20051,Daily,28,false
144,Jennifer,Powell,jpowell3z,jpowell3z@si.edu,Female,196.128.65.150,Pima,Laurel,Trenton,NJ,08603,Once,86,false
145,Norma,Fox,nfox40,nfox40@rakuten.co.jp,Female,11.83.243.208,American Indian and Alaska Native (AIAN),Sloan,Aiken,SC,29805,Once,61,false
146,Tina,Mason,tmason41,tmason41@jalbum.net,Female,15.61.13.16,Tohono O'Odham,Esch,Indianapolis,IN,46239,Once,79,false
147,Catherine,Chavez,cchavez42,cchavez42@blog.com,Female,181.191.228.199,Vietnamese,Old Gate,Brooklyn,NY,11254,Never,32,true
148,Kimberly,Pierce,kpierce43,kpierce43@ft.com,Female,37.20.164.72,Sioux,Green,San Antonio,TX,78291,Once,84,false
149,Sara,Burke,sburke44,sburke44@linkedin.com,Female,13.13.12.97,Panamanian,Corry,San Antonio,TX,78220,Never,75,true
150,Scott,Ruiz,sruiz45,sruiz45@privacy.gov.au,Male,143.34.160.245,Cambodian,Texas,Jeffersonville,IN,47134,Often,42,false
151,Jeremy,Woods,jwoods46,jwoods46@vinaora.com,Male,139.226.114.6,Ute,Menomonie,Waco,TX,76705,Once,23,true
152,Aaron,White,awhite47,awhite47@wix.com,Male,148.217.176.135,Asian,Morning,San Antonio,TX,78225,Monthly,81,false
153,Jeffrey,Owens,jowens48,jowens48@usgs.gov,Male,90.20.1.46,Korean,Farmco,El Paso,TX,79955,Monthly,25,true
154,Juan,Carroll,jcarroll49,jcarroll49@virginia.edu,Male,229.44.23.162,Alaskan Athabascan,Norway Maple,New York City,NY,10170,Seldom,29,false
155,Earl,Reyes,ereyes4a,ereyes4a@tmall.com,Male,151.101.99.57,Colombian,Stang,Louisville,KY,40298,Daily,36,true
156,Juan,Gilbert,jgilbert4b,jgilbert4b@mail.ru,Male,195.23.110.16,Venezuelan,Vermont,New York City,NY,10060,Seldom,76,true
157,Sarah,Turner,sturner4c,sturner4c@dyndns.org,Female,138.149.182.64,Seminole,Bluejay,Houston,TX,77223,Seldom,68,false
158,Adam,Ferguson,aferguson4d,aferguson4d@oakley.com,Male,216.115.238.8,American Indian,Meadow Vale,Las Vegas,NV,89110,Often,63,false
159,Russell,West,rwest4e,rwest4e@ca.gov,Male,160.178.66.154,Thai,Havey,New Haven,CT,06538,Daily,84,false
160,Phillip,Gonzales,pgonzales4f,pgonzales4f@sogou.com,Male,228.225.145.102,Tlingit-Haida,Upham,Elizabeth,NJ,07208,Daily,64,true
161,Aaron,Cruz,acruz4g,acruz4g@hp.com,Male,112.157.136.107,Kiowa,East,Newark,NJ,07104,Never,30,false
162,Terry,White,twhite4h,twhite4h@amazonaws.com,Male,166.103.79.85,Latin American Indian,Claremont,Saint Paul,MN,55123,Often,93,true
163,Doris,Grant,dgrant4i,dgrant4i@nature.com,Female,10.139.30.171,Tohono O'Odham,Erie,Laredo,TX,78044,Yearly,87,false
164,Carlos,Meyer,cmeyer4j,cmeyer4j@cbslocal.com,Male,151.24.104.173,Lumbee,Dayton,New Orleans,LA,70165,Yearly,84,true
165,Virginia,Dunn,vdunn4k,vdunn4k@skyrock.com,Female,10.6.111.68,American Indian,Gateway,Tuscaloosa,AL,35405,Seldom,62,false
166,Paula,Simpson,psimpson4l,psimpson4l@geocities.com,Female,163.13.69.231,Dominican (Dominican Republic),Ohio,Louisville,KY,40215,Never,36,true
167,Joe,Lee,jlee4m,jlee4m@illinois.edu,Male,178.239.33.108,Aleut,Raven,Washington,DC,20442,Often,18,true
168,George,Hunt,ghunt4n,ghunt4n@infoseek.co.jp,Male,212.142.76.43,Tlingit-Haida,North,Montpelier,VT,05609,Seldom,21,false
169,Frank,Barnes,fbarnes4o,fbarnes4o@baidu.com,Male,237.40.72.58,Ecuadorian,Pawling,Las Vegas,NV,89135,Monthly,96,true
170,Cynthia,Ruiz,cruiz4p,cruiz4p@netscape.com,Female,22.102.147.245,Iroquois,Golf Course,Spokane,WA,99220,Daily,30,true
171,Henry,Rivera,hrivera4q,hrivera4q@va.gov,Male,191.149.151.142,Chamorro,Hanover,Carlsbad,CA,92013,Seldom,61,false
172,Ernest,Rose,erose4r,erose4r@zimbio.com,Male,156.98.92.183,Cree,Onsgard,San Francisco,CA,94142,Never,44,false
173,Ruth,Parker,rparker4s,rparker4s@baidu.com,Female,47.34.71.252,Puerto Rican,Armistice,Los Angeles,CA,90040,Often,88,true
174,Janice,Hernandez,jhernandez4t,jhernandez4t@buzzfeed.com,Female,131.236.153.89,Native Hawaiian and Other Pacific Islander (NHPI),Hanson,Trenton,NJ,08608,Daily,46,false
175,Frances,Freeman,ffreeman4u,ffreeman4u@cpanel.net,Female,252.56.93.189,Houma,Lake View,Saint Louis,MO,63126,Seldom,75,false
176,Jacqueline,Brown,jbrown4v,jbrown4v@yolasite.com,Female,66.25.147.196,Colville,Heath,Topeka,KS,66667,Often,39,true
177,Dennis,Lawrence,dlawrence4w,dlawrence4w@issuu.com,Male,31.26.14.105,Indonesian,Pleasure,Fayetteville,NC,28314,Once,33,false
178,Helen,White,hwhite4x,hwhite4x@nps.gov,Female,159.254.226.207,Black or African American,Dwight,Shawnee Mission,KS,66220,Weekly,63,false
179,Raymond,Clark,rclark4y,rclark4y@mozilla.org,Male,176.137.252.190,Bangladeshi,Sherman,Houston,TX,77299,Daily,26,false
180,Rebecca,Davis,rdavis4z,rdavis4z@hatena.ne.jp,Female,27.19.138.35,Melanesian,Swallow,Tallahassee,FL,32399,Daily,60,true
181,Matthew,Wheeler,mwheeler50,mwheeler50@sourceforge.net,Male,231.226.2.10,Pakistani,Pawling,New York City,NY,10045,Weekly,75,true
182,Amy,Gonzalez,agonzalez51,agonzalez51@oakley.com,Female,1.110.167.182,Melanesian,Jana,Jersey City,NJ,07305,Monthly,87,false
183,Pamela,Kim,pkim52,pkim52@ezinearticles.com,Female,140.232.123.57,Cheyenne,Sunnyside,San Antonio,TX,78210,Daily,52,true
184,Willie,Wheeler,wwheeler53,wwheeler53@hatena.ne.jp,Male,200.112.122.81,Chilean,Commercial,Boulder,CO,80310,Often,20,true
185,Robin,Welch,rwelch54,rwelch54@vk.com,Female,98.2.135.246,Indonesian,Meadow Vale,Pittsburgh,PA,15215,Weekly,100,false
186,Janice,Hawkins,jhawkins55,jhawkins55@t.co,Female,40.153.6.204,Osage,Veith,Clearwater,FL,33758,Yearly,32,true
187,Debra,Ramos,dramos56,dramos56@xing.com,Female,180.182.148.135,Asian,Caliangt,Lima,OH,45807,Monthly,89,false
188,Edward,Carroll,ecarroll57,ecarroll57@theglobeandmail.com,Male,178.124.235.60,Asian,Everett,Orange,CA,92867,Daily,65,true
189,Jessica,Richardson,jrichardson58,jrichardson58@mtv.com,Female,168.22.92.251,Malaysian,Di Loreto,Montgomery,AL,36134,Once,49,true
190,Lori,Wells,lwells59,lwells59@jimdo.com,Female,169.64.180.94,Alaskan Athabascan,Buena Vista,Tallahassee,FL,32399,Never,48,false
191,Janet,Graham,jgraham5a,jgraham5a@usatoday.com,Female,158.234.55.243,Alaskan Athabascan,Bonner,Wilmington,NC,28405,Often,28,true
